Sample,Class,Phi (frac.),Phi (%),K mD,Windland R35,Equiv Brine Sat. (Frac.),O/B Pc (psia),Pore Throat Rad. (microns),Normalized Pore Size Distribution (function),d Sw/d Log Pore Throat Rad,RRT
1,Good,0.16,15.7,0,0,1,0.06,215.53,0,0,1 RRT
1,Good,0.16,15.7,0,0,1,0.06,192.43,0,0,1 RRT
1,Good,0.16,15.7,0,0,1,0.07,171.05,0,0,1 RRT
1,Good,0.16,15.7,0,0,1,0.08,151.78,0,0,1 RRT
1,Good,0.16,15.7,0,0,1,0.09,134.7,0,0,1 RRT
1,Good,0.16,15.7,0,0,1,0.1,119.74,0,0,1 RRT
1,Good,0.16,15.7,0,0,1,0.11,106.7,0,0,1 RRT
1,Good,0.16,15.7,0,0,1,0.15,82.26,0,0,1 RRT
1,Good,0.16,15.7,0,0,1,0.17,71.37,0,0,1 RRT
1,Good,0.16,15.7,0,0,1,0.2,62.29,0,0,1 RRT
1,Good,0.16,15.7,0,0,1,0.22,54.43,0,0,1 RRT
1,Good,0.16,15.7,0,0,1,0.26,47.47,0,0,1 RRT
1,Good,0.16,15.7,0,0,1,0.29,41.45,0,0,1 RRT
1,Good,0.16,15.7,0,0,1,0.34,36.16,0,0,1 RRT
1,Good,0.16,15.7,0,0,1,0.39,31.6,0,0,1 RRT
1,Good,0.16,15.7,0,0,1,0.44,27.56,0,0,1 RRT
1,Good,0.16,15.7,0,0,1,0.51,24,0,0,1 RRT
1,Good,0.16,15.7,0,0,1,0.58,20.97,0,0,1 RRT
1,Good,0.16,15.7,0,0,1,0.67,18.3,0,0,1 RRT
1,Good,0.16,15.7,0,0,1,0.76,15.96,0,0,1 RRT
1,Good,0.16,15.7,0,0,1,0.88,13.92,0,0,1 RRT
1,Good,0.16,15.7,0,0,1,1,12.15,0,0,1 RRT
1,Good,0.16,15.7,0,0,1,1.15,10.57,0,0,1 RRT
1,Good,0.16,15.7,0,0,1,1.32,9.21,0,0,1 RRT
1,Good,0.16,15.7,0,0,1,1.51,8.04,0,0,1 RRT
1,Good,0.16,15.7,0,0,1,1.73,7.04,0,0,1 RRT
1,Good,0.16,15.7,0,0,1,1.99,6.12,0,0,1 RRT
1,Good,0.16,15.7,0,0,1,2.27,5.36,0,0,1 RRT
1,Good,0.16,15.7,0,0,1,2.61,4.67,0,0,1 RRT
1,Good,0.16,15.7,0,0,1,2.98,4.08,0,0,1 RRT
1,Good,0.16,15.7,0,0,1,3.39,3.59,0,0,1 RRT
1,Good,0.16,15.7,0,0,1,3.92,3.11,0,0,1 RRT
1,Good,0.16,15.7,0,0,1,4.5,2.71,0,0,1 RRT
1,Good,0.16,15.7,0,0,1,5.16,2.36,0,0,1 RRT
1,Good,0.16,15.7,0,0,1,5.91,2.06,0,0,1 RRT
1,Good,0.16,15.7,0,0,1,6.77,1.8,0,0,1 RRT
1,Good,0.16,15.7,0,0,1,7.77,1.57,0,0,1 RRT
1,Good,0.16,15.7,0,0,1,8.9,1.37,0,0,1 RRT
1,Good,0.16,15.7,0,0,1,10.2,1.19,0,0,1 RRT
1,Good,0.16,15.7,0,0,1,11.69,1.04,0,0,1 RRT
1,Good,0.16,15.7,0,0,1,13.41,0.91,0,0,1 RRT
1,Good,0.16,15.7,0,0,0.99,15.36,0.79,0.25,0.18,1 RRT
1,Good,0.16,15.7,0,0,0.94,17.6,0.69,0.55,0.77,1 RRT
1,Good,0.16,15.7,0,0,0.85,20.18,0.6,0.81,1.6,1 RRT
1,Good,0.16,15.7,0,0,0.73,23.13,0.53,0.95,2,1 RRT
1,Good,0.16,15.7,0,0,0.61,26.51,0.46,1,2.09,1 RRT
1,Good,0.16,15.7,0,0,0.48,30.39,0.4,0.98,2.16,1 RRT
1,Good,0.16,15.7,0,0,0.35,34.83,0.35,0.86,2.14,1 RRT
1,Good,0.16,15.7,0,0,0.26,39.92,0.31,0.64,1.62,1 RRT
1,Good,0.16,15.7,0,0,0.19,45.76,0.27,0.43,1.03,1 RRT
1,Good,0.16,15.7,0,0,0.15,52.45,0.23,0.3,0.71,1 RRT
1,Good,0.16,15.7,0,0,0.12,60.12,0.2,0.22,0.51,1 RRT
1,Good,0.16,15.7,0,0,0.1,68.91,0.18,0.17,0.4,1 RRT
1,Good,0.16,15.7,0,0,0.08,78.98,0.15,0.12,0.32,1 RRT
1,Good,0.16,15.7,0,0,0.07,90.52,0.13,0.08,0.2,1 RRT
1,Good,0.16,15.7,0,0,0.06,103.76,0.12,0.06,0.13,1 RRT
1,Good,0.16,15.7,0,0,0.05,118.92,0.1,0.05,0.13,1 RRT
1,Good,0.16,15.7,0,0,0.05,136.31,0.09,0.04,0.08,1 RRT
1,Good,0.16,15.7,0,0,0.04,156.23,0.08,0.04,0.09,1 RRT
