Sample,Class,Phi (frac.),Phi (%),K mD,Windland R35,Equiv Brine Sat. (Frac.),O/B Pc (psia)      ,Pore Throat Rad. (microns),Normalized Pore Size Distribution (function),d Sw/d Log Pore Throat Rad,RRT
1,Good,0.16,15.70,0.00,0.00,1.00,0.06,215.53,0.00,0.00,1 RRT
1,Good,0.16,15.70,0.00,0.00,1.00,0.06,192.43,0.00,0.00,1 RRT
1,Good,0.16,15.70,0.00,0.00,1.00,0.07,171.05,0.00,0.00,1 RRT
1,Good,0.16,15.70,0.00,0.00,1.00,0.08,151.78,0.00,0.00,1 RRT
1,Good,0.16,15.70,0.00,0.00,1.00,0.09,134.70,0.00,0.00,1 RRT
1,Good,0.16,15.70,0.00,0.00,1.00,0.10,119.74,0.00,0.00,1 RRT
1,Good,0.16,15.70,0.00,0.00,1.00,0.11,106.70,0.00,0.00,1 RRT
1,Good,0.16,15.70,0.00,0.00,1.00,0.15,82.26,0.00,0.00,1 RRT
1,Good,0.16,15.70,0.00,0.00,1.00,0.17,71.37,0.00,0.00,1 RRT
1,Good,0.16,15.70,0.00,0.00,1.00,0.20,62.29,0.00,0.00,1 RRT
1,Good,0.16,15.70,0.00,0.00,1.00,0.22,54.43,0.00,0.00,1 RRT
1,Good,0.16,15.70,0.00,0.00,1.00,0.26,47.47,0.00,0.00,1 RRT
1,Good,0.16,15.70,0.00,0.00,1.00,0.29,41.45,0.00,0.00,1 RRT
1,Good,0.16,15.70,0.00,0.00,1.00,0.34,36.16,0.00,0.00,1 RRT
1,Good,0.16,15.70,0.00,0.00,1.00,0.39,31.60,0.00,0.00,1 RRT
1,Good,0.16,15.70,0.00,0.00,1.00,0.44,27.56,0.00,0.00,1 RRT
1,Good,0.16,15.70,0.00,0.00,1.00,0.51,24.00,0.00,0.00,1 RRT
1,Good,0.16,15.70,0.00,0.00,1.00,0.58,20.97,0.00,0.00,1 RRT
1,Good,0.16,15.70,0.00,0.00,1.00,0.67,18.30,0.00,0.00,1 RRT
1,Good,0.16,15.70,0.00,0.00,1.00,0.76,15.96,0.00,0.00,1 RRT
1,Good,0.16,15.70,0.00,0.00,1.00,0.88,13.92,0.00,0.00,1 RRT
1,Good,0.16,15.70,0.00,0.00,1.00,1.00,12.15,0.00,0.00,1 RRT
1,Good,0.16,15.70,0.00,0.00,1.00,1.15,10.57,0.00,0.00,1 RRT
1,Good,0.16,15.70,0.00,0.00,1.00,1.32,9.21,0.00,0.00,1 RRT
1,Good,0.16,15.70,0.00,0.00,1.00,1.51,8.04,0.00,0.00,1 RRT
1,Good,0.16,15.70,0.00,0.00,1.00,1.73,7.04,0.00,0.00,1 RRT
1,Good,0.16,15.70,0.00,0.00,1.00,1.99,6.12,0.00,0.00,1 RRT
1,Good,0.16,15.70,0.00,0.00,1.00,2.27,5.36,0.00,0.00,1 RRT
1,Good,0.16,15.70,0.00,0.00,1.00,2.61,4.67,0.00,0.00,1 RRT
1,Good,0.16,15.70,0.00,0.00,1.00,2.98,4.08,0.00,0.00,1 RRT
1,Good,0.16,15.70,0.00,0.00,1.00,3.39,3.59,0.00,0.00,1 RRT
