MD (m RKB),Inc (deg),Azim (deg),TVD (m RKB),X-Offset (m),Y-Offset (m),UTM E/W (m),UTM N/S (m),DLS (deg/30m),WELL_NAME
109,0,0,109,7.02,6.89,437506.858,6477887.468,0,15-9-19-A
122.95,0.07,171.71,122.96,6.99,6.84,437506.828,6477887.418,0.15,15-9-19-A
133,0.08,251.27,132.98,6.99,6.82,437506.828,6477887.398,0.29,15-9-19-A
142.96,0.08,250.91,142.96,7.01,6.81,437506.848,6477887.388,0,15-9-19-A
152.93,0.09,231.59,152.91,7.03,6.79,437506.868,6477887.368,0.09,15-9-19-A
162.98,0.04,245.01,162.96,7.07,6.75,437506.908,6477887.328,0.16,15-9-19-A
173,0.13,210.73,173,7.09,6.7,437506.928,6477887.278,0.3,15-9-19-A
182.94,0.06,189.55,182.92,7.1,6.62,437506.938,6477887.198,0.23,15-9-19-A
192.92,0.18,247.57,192.92,7.08,6.55,437506.918,6477887.128,0.47,15-9-19-A
202.92,0.18,250.22,202.91,7.05,6.52,437506.888,6477887.098,0.02,15-9-19-A
212.94,0.15,237.38,212.93,7.02,6.53,437506.858,6477887.108,0.14,15-9-19-A
222.95,0.21,250.26,222.94,6.98,6.51,437506.818,6477887.088,0.22,15-9-19-A
233,0.21,261.92,232.99,6.94,6.51,437506.778,6477887.088,0.13,15-9-19-A
242.98,0.21,264.03,242.97,6.91,6.5,437506.748,6477887.078,0.02,15-9-19-A
253.01,0.2,255.65,253,6.86,6.48,437506.698,6477887.058,0.09,15-9-19-A
262.92,0.21,256.09,262.88,6.83,6.48,437506.668,6477887.058,0.03,15-9-19-A
272.98,0.24,266.62,272.97,6.77,6.47,437506.608,6477887.048,0.15,15-9-19-A
282.94,0.36,263.24,282.93,6.71,6.46,437506.548,6477887.038,0.37,15-9-19-A
293,0.45,262.97,292.98,6.64,6.47,437506.478,6477887.048,0.27,15-9-19-A
302.94,0.43,263.3,302.94,6.57,6.46,437506.408,6477887.038,0.06,15-9-19-A
313,0.47,258.58,312.98,6.5,6.46,437506.338,6477887.038,0.16,15-9-19-A
323.01,0.49,263.19,323,6.41,6.46,437506.248,6477887.038,0.13,15-9-19-A
332.98,0.43,266.94,332.94,6.33,6.45,437506.168,6477887.028,0.2,15-9-19-A
342.92,0.48,262.95,342.91,6.24,6.44,437506.078,6477887.018,0.18,15-9-19-A
352.96,0.48,259.02,352.94,6.16,6.45,437505.998,6477887.028,0.1,15-9-19-A
363.02,0.5,258.16,363,6.08,6.46,437505.918,6477887.038,0.06,15-9-19-A
372.96,0.45,247.73,372.95,6,6.48,437505.838,6477887.058,0.3,15-9-19-A
383.02,0.52,250.17,383,5.92,6.48,437505.758,6477887.058,0.22,15-9-19-A
392.96,0.47,236.7,392.96,5.84,6.44,437505.678,6477887.018,0.38,15-9-19-A
402.93,0.51,238.35,402.92,5.76,6.41,437505.598,6477886.988,0.13,15-9-19-A
413.04,0.45,241.29,413,5.7,6.38,437505.538,6477886.958,0.19,15-9-19-A
422.93,0.4,232.38,422.92,5.64,6.34,437505.478,6477886.918,0.25,15-9-19-A
432.93,0.42,231.7,432.92,5.57,6.32,437505.408,6477886.898,0.06,15-9-19-A
442.93,0.4,229.31,442.92,5.5,6.29,437505.338,6477886.868,0.08,15-9-19-A
453.02,0.37,222.08,453,5.44,6.25,437505.278,6477886.828,0.17,15-9-19-A
463.02,0.32,220.66,463,5.4,6.17,437505.238,6477886.748,0.15,15-9-19-A
472.94,0.31,222.28,472.93,5.36,6.13,437505.198,6477886.708,0.04,15-9-19-A
482.95,0.31,221.62,482.93,5.31,6.08,437505.148,6477886.658,0.01,15-9-19-A
493.02,0.34,219.71,493,5.26,6.04,437505.098,6477886.618,0.1,15-9-19-A
503.02,0.39,210.7,503.01,5.22,5.99,437505.058,6477886.568,0.23,15-9-19-A
512.93,0.32,225.75,512.91,5.17,5.97,437505.008,6477886.548,0.35,15-9-19-A
523,0.33,212.87,522.97,5.12,5.93,437504.958,6477886.508,0.22,15-9-19-A
533.01,0.39,214.21,533,5.07,5.87,437504.908,6477886.448,0.18,15-9-19-A
542.98,0.3,209.18,542.96,5.03,5.82,437504.868,6477886.398,0.29,15-9-19-A
552.94,0.36,212.08,552.93,5,5.76,437504.838,6477886.338,0.19,15-9-19-A
562.95,0.41,227.68,562.93,4.95,5.71,437504.788,6477886.288,0.35,15-9-19-A
572.91,0.78,266.95,572.89,4.85,5.68,437504.688,6477886.258,1.6,15-9-19-A
583.01,1.55,276.61,583,4.65,5.68,437504.488,6477886.258,2.35,15-9-19-A
593,2.39,281.49,592.98,4.31,5.75,437504.148,6477886.328,2.57,15-9-19-A
